server_seed,client_seed,nonce,raw_output,outcome,timestamp,mechanism_id
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,0,1d2e2cd01309c25fad183157f02afa9e85a5f1206689fe357d58dc7cc8a95a94,9.0,2026-06-03T16:00:07.195764+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,1,fb5145105a154f0f1d9adaff7121d7d15b5a8b179695198b747c18fdc5b5f05f,60.0,2026-06-03T16:00:07.195863+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,2,cfc5b9ceacec70919e9e2d7df03e6d31983039eb289599debf14139db4d2b94f,24.0,2026-06-03T16:00:07.195992+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,3,28d4d776b862bfdaa769307bafe71d1c6dbd675e6676d8ab6bae0e9b82550f29,6.0,2026-06-03T16:00:07.196046+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,4,94605930e5a454447d427d3fd0103c6ecfd07c63f3015f926a27ff214dae3d9a,47.0,2026-06-03T16:00:07.196079+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,5,5ca07395aaebc257ba0f6ef9a5415f18dbc9832da678ee2296fdd139b1963ad3,36.0,2026-06-03T16:00:07.196106+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,6,a9fd185390d804962afdd7e60ee96803cb3ad4a4faaa173c8f133b04d75ac483,40.0,2026-06-03T16:00:07.196132+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,7,cdf71411e38288ac59b97d8b377dacaaafaf1e3f69addb69c69d7bac0e32302f,4.0,2026-06-03T16:00:07.196158+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,8,df34161a1d118af7aaa5c88993a5eb4feeac47af2713f965a590a4d54c4db789,46.0,2026-06-03T16:00:07.196181+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,9,3da681e6184bb54f21d10a464cf6c515b528bea38997fe9eeb96a138e0277bad,18.0,2026-06-03T16:00:07.196203+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,10,4d4511fc9c33e6b51c80e0a5c8ac1372cc3e18afc862880f650dbf197209a531,10.0,2026-06-03T16:00:07.196225+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,11,92b899f4fffbee3d3000fc1fca5cb3fae7d2115e598811597362c9c22e2897e8,17.0,2026-06-03T16:00:07.196247+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,12,ab413e6b79b534d6f90e2c8c861cfe5dcf9dba0cf7c75e99b5b9c96fe8eb43a7,64.0,2026-06-03T16:00:07.196269+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,13,c4a081420914710578882301984bfb9291b9883e4b22eaa3411d25c9b7ed3e03,96.0,2026-06-03T16:00:07.196289+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,14,2723547f21767e2da20906dda98393bddddd5799fe95b98576917bfb3529040c,97.0,2026-06-03T16:00:07.196310+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,15,e8909564865842d0d87e8a551ac46a501c4d87a3de7679d5028aac8502439939,66.0,2026-06-03T16:00:07.196331+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,16,d3595b5662c2a412216b898f3980874a710cccbeb4a4e4ded2123912e96be4fb,76.0,2026-06-03T16:00:07.196351+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,17,52c38b8005826919f29ef2217413d279f73774c95711dd4f79ca17713db0fbde,83.0,2026-06-03T16:00:07.196372+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,18,8f16cdc3296d9fc1f5551cdf747f4ac28e3da0366d0c6f67b9e3a4a48507bbf8,17.0,2026-06-03T16:00:07.196400+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,19,5547d87280fd1e41dd0c574f4e69dc2b3160695ec6c57b1b8e62e20ab823e3b6,91.0,2026-06-03T16:00:07.196487+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,20,65ff37b616be85c93ebf49d85621b78d73db3e93b5b64a4d7a5866cf21d992f4,61.0,2026-06-03T16:00:07.196546+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,21,cefe824669c6b53b73909234f8888ee6c468a8d8a358d4be85e4a84b37ccfe61,78.0,2026-06-03T16:00:07.196583+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,22,89e445cadb18c06245b81a23d23747cebc17c484fe0865ed142e92f5490c3814,33.0,2026-06-03T16:00:07.196611+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,23,eb7c08e66503185452de690a2d275ddfa17bc6000a2e54fb6d5077a683d150ca,83.0,2026-06-03T16:00:07.196635+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,24,8d4fe6d7cfe119de5a5fd2c4a86f27e060ea4df5ada7020aad954f3ea52997f3,40.0,2026-06-03T16:00:07.196658+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,25,842a74baa6826cbee3b90dcc5be632d49e241932044a3d098d5fa01702270893,20.0,2026-06-03T16:00:07.196682+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,26,9ff77b1d36e97a04ee35c725d5c4522ffc10d6bf3617d9ee7663691a40860de9,14.0,2026-06-03T16:00:07.196705+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,27,210d9b547ac623dc4a135726437f8ebfc12b5a5e2f2b3e50010c85d1e9e16fee,35.0,2026-06-03T16:00:07.196729+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,28,59fc1f3b6e4038df4ff34de8005a55495ca43cf0e4ba449fd7782251c038e965,78.0,2026-06-03T16:00:07.196751+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,29,95bf4b568e6f6fc205a5cf0b541d6a8cfc6ba5131a2bd3b76b49cb8afd6e225e,35.0,2026-06-03T16:00:07.196772+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,30,fde0947d6b85b7fc2ae309afcc656cc46da18adfb3328f24431be773cb836002,79.0,2026-06-03T16:00:07.196794+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,31,ea5d1e5d81ed7ffbbec5256a9815711b8545b83253db9710bf0f4b86dfefcb09,22.0,2026-06-03T16:00:07.196815+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,32,44c6fa1c0e3a8e7f0f6f775b97652c95c3c516679a6a1e30d0067bc772143b8c,81.0,2026-06-03T16:00:07.196840+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,33,2caec2a3d0265f21171e044506ee49bdefc8473dfd93667baf318e07101a56ee,87.0,2026-06-03T16:00:07.196862+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,34,a5077ad16f64dd9dc75e68a764f3e905912b010484684e72d4d607befcc6bb7f,96.0,2026-06-03T16:00:07.196889+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,35,ad52766c7f2c0b99d6de67cd82b2fbabc768d31a5797eef437a4dd0091e29e53,8.0,2026-06-03T16:00:07.196910+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,36,4619c0af6afd9975ab3f6668d4ed95e307c5ed0e2e917c926447b85e63689758,69.0,2026-06-03T16:00:07.196934+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,37,510e7b9fed3f2406bed64af277bb233a5a4ce980e33763b9393955ad2ec4fcec,9.0,2026-06-03T16:00:07.196955+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,38,b371a29821b451ffbbff88189a80c254524e8a33971cae577b7d6e4255347b66,23.0,2026-06-03T16:00:07.196978+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,39,5f1b473df55aa19ef13a77507f849ba34b228912b56f9933c8894e364fd9c39c,45.0,2026-06-03T16:00:07.197001+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,40,8601ad5b7e5a3215bbfd56ae7a683902f215f9aa2b9ad0319143a7a7ef4bb4d0,1.0,2026-06-03T16:00:07.197033+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,41,e04d5773f9e4d48d87abe65a9d72a06d7aef35fdcc20f48374cf45e7a377f199,42.0,2026-06-03T16:00:07.197226+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,42,d9ada8588e56174821c8b638950603b6a7f89a62569d0c744c9e7e7dbf68c429,26.0,2026-06-03T16:00:07.197372+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,43,5714a26c61ff447abd6bb3f6e118c95554876ac82cecc36b7ad9185d506d05df,76.0,2026-06-03T16:00:07.197489+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,44,dc7bb066326c1e6d63b49505f3bbc51cdc3135b7481d5d89f59d7e36d6dbe6d0,41.0,2026-06-03T16:00:07.197591+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,45,6889fc6589407c8258e5f646a743b1c93e2c6f5e3eebaf3cc4f28f85afeade94,81.0,2026-06-03T16:00:07.197704+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,46,811b0489dab8d725aa7b9069571c75e1afc88d117a2355b3d1498c1ad68527c6,27.0,2026-06-03T16:00:07.197774+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,47,92ec48ea514f1f42b375ee01716fd96be8dd74488c1c40d0eea04f9835ad2d29,6.0,2026-06-03T16:00:07.197842+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,48,e353de263ca4da6a272752e76a01317cb28cc9402286dcdde0e5826dbc278dc5,74.0,2026-06-03T16:00:07.197892+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,49,4cfc0a06fbce8c40e370f4b7f1df6a7eb251c7eae6fce2743ad12b3224d4afcc,1.0,2026-06-03T16:00:07.197934+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,50,4f1514a864acde57fea0dfda77eb008184d73046fd97d54b43d8d6204f0a8f49,74.0,2026-06-03T16:00:07.197972+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,51,16c995f2317e887d329b581034035be49403c76abd146cd2f9e0d3271cc057a5,2.0,2026-06-03T16:00:07.198008+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,52,1e9cdc958e47dbbc5eb4f7a0baae433437f57b61f3fb422722add611679277f9,90.0,2026-06-03T16:00:07.198046+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,53,4a17c2de53ddd938823a633f891ac8b14eea1b5bc6d3f960bdc2143f947b0f1e,47.0,2026-06-03T16:00:07.198092+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,54,e9b83059042a826690c686f96af2e57387e8c0a1179bb07419fb012a8722256b,72.0,2026-06-03T16:00:07.198131+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,55,2e18556c297fc6ebebb01101ab673fb49e8b910303c2fc53796c4a5802e483a8,53.0,2026-06-03T16:00:07.198167+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,56,7de0830b1f96966efdcad2ad5b39a1f8957ae9d70dde51131b179576e12b1c9e,83.0,2026-06-03T16:00:07.198203+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,57,83c8aea1073965c50fbd21b7cad1e802e6154c63b814a563356fa543269615b1,30.0,2026-06-03T16:00:07.198240+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,58,e71d2519fbd6f4c5cd1775c027d66e07dd57f0499d9372e91ce365c6d98452e9,46.0,2026-06-03T16:00:07.198278+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,59,84ef32269e5af63141929feb61c35546f352ce60b7117047618986cee0ab1418,93.0,2026-06-03T16:00:07.198314+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,60,12a434cd615178147805cd3f5cb909a4b67d984e0fe8cf500342271d2401dbad,78.0,2026-06-03T16:00:07.198349+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,61,8dfc8baff925e4da91656f7f54b64069e81cc1082b4d5e596ec32ca54c5a9df8,33.0,2026-06-03T16:00:07.198387+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,62,cf10dd0d0bdba8e25774a0874ed2d7fcf536ec23a803f2702ff96b3594ce38c0,13.0,2026-06-03T16:00:07.198427+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,63,10e85076940081153828b7d8959da684990f66795762b0e51f1cde37c99b2f6f,40.0,2026-06-03T16:00:07.198460+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,64,cd74f8432e93e023310f6b64e79b5ae6a20d0a2c3eacac02511d345af89835d3,84.0,2026-06-03T16:00:07.198490+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,65,d52b12cd9654f6f37d912d59ab926ce1dabf5e84f51014e5a6add7b763975bbc,33.0,2026-06-03T16:00:07.198515+00:00,betswirl-chainlink-vrf-v2.5
fb615023fb648785ebc938974462a8e059397f448f13292a45e400fb66a72e83,0x9cCC8e15c58bfEa77D820D1B784f9Ec931B76c3b,66,11d97f3ab13fd7d49ae9ee1245f4d87e58941081a34ab7fa348524cb726cfd27,44.0,2026-06-03T16:00:07.198537+00:00,betswirl-chainlink-vrf-v2.5
