server_seed,client_seed,nonce,raw_output,outcome,timestamp,mechanism_id
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,1,2f168dfb1957b051c960e51a0a286a8d9a665381e3a2ac0d7524ba06c2ac41f2,18.39,2026-06-02T22:47:30.701687+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,2,a396cf862a38feede15e23fa76bcc435dc9b06f146b1068d58c8587bbac9713a,63.9,2026-06-02T22:47:30.701760+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,3,672a9f3656fbb77c092b64da5ede0d37fffe8b3bb0520d415b4fa921e813004d,40.3,2026-06-02T22:47:30.701814+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,4,fdd1e3a8601ca76eb92982b451a203dbf010c001821c6feb096251b6500951d1,99.15,2026-06-02T22:47:30.701866+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,5,fd4af2b84d0de99e4e77e0bd8c130368b8988ece068890c4004b12f848179086,98.95,2026-06-02T22:47:30.701912+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,6,0ee6747aea763bbb19a79a58f97c1cb700e3daa3d376d66f94bf7e3d116a7c9b,5.82,2026-06-02T22:47:30.701956+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,7,7d1f95bea9049aebab4e5f5f7a4464c6c33e76d9fe31a999911bb1f3bf6e49bb,48.88,2026-06-02T22:47:30.701996+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,8,3b5c8ac51615aea86b85600dcd2b84456622a2d2458d22350fbb31ea5651a312,23.19,2026-06-02T22:47:30.702036+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,9,5beb36a6fb7dce9b7b22ef481049a0400e2397d90b28da9f51286542b352b694,35.9,2026-06-02T22:47:30.702078+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,10,183b931b280d49854b4b162552c1a79784ddf430897e656f6092c064a474ad6f,9.46,2026-06-02T22:47:30.702117+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,11,d578577af2e1ce517d0488a9f694059c39a0ef918ebbfcab5fc181cf8f6d9845,83.39,2026-06-02T22:47:30.702156+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,12,306cafc48828846d4c8eebda1ff86a45a4253893930e4f5e4f3e4df6cb617ae1,18.91,2026-06-02T22:47:30.702196+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,13,aebee8427558562a24740297e032427a16334db3b3e68759493eb5c88fa5d4f0,68.26,2026-06-02T22:47:30.702234+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,14,fb0dbd18085658e8f240f60a4e7a23ee80bbe6058491cdf648b626c04136e4f1,98.07,2026-06-02T22:47:30.702272+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,15,6060264a54796ea8b8972b490d4d99b61439d02ccca4becd92719d2a3882c2b1,37.65,2026-06-02T22:47:30.702371+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,16,106a18b7213cd6d7de17fed851a99c75f71aa4b89b102f743b94cbf41209cd54,6.41,2026-06-02T22:47:30.702415+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,17,6cbb5d359e30cfd93123b35a7e8d22b093558c4a85fb35540c34d475df3f453a,42.47,2026-06-02T22:47:30.702453+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,18,6e8643aa172058aab51e88062567826ecf8ece789d254b0c47235e990c227798,43.17,2026-06-02T22:47:30.702494+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,19,7d4fbd672ebb4228bb8e87bf9e4d7c8b1d3ee8c07fa9de0ec2d8a7e4bd24c215,48.95,2026-06-02T22:47:30.702535+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,20,6978d88a062666cbd96d6171d9e983ba289ced93691e949a4a47cbaaf8cff8b5,41.2,2026-06-02T22:47:30.702573+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,21,1ba6c7cc133cc0321dc3a144316c24f5e0ce4917d55569132d8c6712282938ce,10.8,2026-06-02T22:47:30.702613+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,22,4cbcfc7fbcf9fafc1b7d161ba2ace5d33fd7aefd2abed423154892d152fe5b2c,29.97,2026-06-02T22:47:30.702649+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,23,6059b3cc9daf4dba93de72b0fe79579c88f9f43c85105be7728b572d02f71f68,37.64,2026-06-02T22:47:30.702686+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,24,6e424c5f6471f3fbc9a96ab8dbb7d40bd4ecdaf420e5152b4e12cea89be5b5ba,43.07,2026-06-02T22:47:30.702721+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,25,f790346463682f505523d0f6b32b540d339e100682035f33d601bb3355e861a1,96.71,2026-06-02T22:47:30.702757+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,26,2a087f36ea913546ce06dbbc7d8d2f30cfffcbcbace81009740c4622e42a9ec0,16.42,2026-06-02T22:47:30.702792+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,27,29afdba70e0e61863f453ab7d1ed127eba8061e68b025e44ac8822425b52fddd,16.28,2026-06-02T22:47:30.702829+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,28,2e1dc610be2a80c11dfc6e29cab2689481218b418b621f08f8ef7bcc33ef3d2a,18.01,2026-06-02T22:47:30.702865+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,29,9387c082dbfda9d5de758377f88f42c2e62e42403fbf1fafbf00e757f5b1a62b,57.63,2026-06-02T22:47:30.702912+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,30,75a999846ba89e87b33a667fd2ad9c63f964b54cd3b2170f1f19d9318bd891b9,45.96,2026-06-02T22:47:30.702948+00:00,hmac-sha256
1a49be08a380e304402b12a044c6539c9c8af68bb9dc4cc93a42dab5b1002d6f,example-client-seed-12345,31,1f47839ead35de0f814cbef34233e8da86fee899c7d3f45a068539a3e8e32a0f,12.21,2026-06-02T22:47:30.702990+00:00,hmac-sha256
